node_id,distance
1510647075112988675,0
1483514600406540288,1
1502703436982276099,1
1491336125117616135,1
1508416124463034372,1
1513100743061950470,1
1496979520259252224,1
1498864447527567366,1
1489622030303604739,1
1487138455297613825,1
1502701016348860422,1
1491562604602478601,1
1511498949978382340,1
1502698485048655874,1
1514006724797153285,1
1491079419397562380,1
1502245214546800641,1
1493517970047475718,1
1514234205303095307,1
1477571634806591489,1
1508229345365606407,1
1478378211138490385,1
1481544065263050753,1
1500790881695289347,1
1514000461044531200,1
1490837826602254341,1
1503094847200243718,1
1498236571316895745,1
1498565210629709824,1
1496258526502658057,1
1511083701198888966,1
1507755722192392203,1
1487791548276387841,1
1495261944416292867,1
1492320155178868736,1
1503193801438937089,1
1498067950863065092,1
1491224086135156739,1
1509025157364465667,1
1501647023547768834,1
1484261987999756297,1
1501274058192830467,1
1479377308242878466,1
1480217824043937795,1
1508604872752603141,1
1512641970048585729,1
1491105812839809026,1
1488663599090388993,1
1495161755982614528,1
1496409563532308485,1
1502771994043031553,1
1491391456564727813,1
1514684925638856707,1
1508737990767558660,1
1485009407142473730,1
1487084762560966657,1
1489259927340138501,1
1503513864113111043,1
1504865248494424101,1
1484992717948084234,1
1483814019823767552,1
1495881039004286982,1
1485980548103299074,1
1510613116559765511,1
1487673194291113985,1
1480751355006537731,1
1499497379644559364,1
1477318732598894600,1
1484201582669537280,1
1491458647712538624,1
1511151646587461638,1
1494031357193998344,1
1492981926583484418,1
1501525718970294276,1
1490758534111268866,1
1488754101320130560,1
1503140105036386323,1
1495126133548929027,1
1485097208932413441,1
1477450833923035138,1
1502281956511338504,1
1484385291339124737,1
1512798760862195718,1
1511191940288626689,1
1514570173243609097,1
1505669286081269774,1
1491977836059635713,1
1485703516895293445,1
1481219494483738625,1
1500850044035031044,1
1493654107361619974,1
1486859072578142212,1
1479915841697337346,1
1491572643719524352,1
1481035702271975426,1
1493112785311522816,1
1484582844806713355,1
1510356424894857228,1
1492181703686713348,1
1478212099792941061,1
1491883473744891907,1
1497119203601571843,1
1504019684009689091,1
1493078307428052993,1
1478155474197528580,1
1479557234262745090,1
1485526558509051908,1
1503876218634051588,1
1512029969077227520,1
1479048877131055109,1
1481044902066675717,1
1486296629229588483,1
1495377728517853190,1
1502285986444853257,1
1507039579647393797,1
1503730255382683650,1
1498580079726809089,1
1488316184227426308,1
1484455759085715459,1
1506186678645444610,1
1490369712261378049,1
1479163884846161926,1
1501558512413024256,1
1492128841837465600,1
1485120120246738944,1
1487036254625705987,1
1502897261642199040,1
1498810400338587652,1
1490752240658915330,1
1505247752560721931,1
1493530554091855872,1
1504257471707336711,1
1491841942744973318,1
1492955511263739912,1
1495801784165666822,1
1478383232169259014,1
1515178234157191180,1
